;Title;Address;Article text
0;Siły Zbrojne Ukrainy wyeliminowały kolejnego rosyjskiego dowódcę;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-sily-zbrojne-ukrainy-wyeliminowaly-kolejnego-rosyjskiego-dow,nId,6055831;" Kolejne straty po stronie rosyjskiej armii. Wyeliminowano podpułkownika Ołeksandra Dosiagajewa - informują Siły Zbrojne Ukrainy. Siły Zbrojne Ukrainy donoszą o kolejnej rosyjskiej ofierze wśród dowódców. Jak przekazał Ukrinform, zlikwidowany został oficer ze 104. pułku desantowego, podpułkownik Ołeksandr Dosiagajew. Poinformował o tym także Departament Komunikacji Strategicznej AFU StratCom na swojej stronie na Facebooku. Jak można przeczytać we wpisie, ""Ołeksandr wygrał w kategorii 'Skrzydlatej piechoty' na festiwalu 'Armia Rosji 2021', ale podczas spotkania z ukraińskimi żołnierzami to nie wystarczyło."" Ukrinform przypomina także, że na początku maja David Petraeus, były dyrektor CIA przekazał, że w Ukrainie zginęło już co najmniej 10. rosyjskich generałów. Natomiast od początku inwazji rosyjskiej na Ukrainę zginęło już w sumie około 30 tys. rosyjskich żołnierzy. "
1;Eksperci: Zakażeni małpią ospą powinni izolować się od zwierząt;https://wydarzenia.interia.pl/zagranica/news-eksperci-zakazeni-malpia-ospa-powinni-izolowac-sie-od-zwierz,nId,6057247;" Przez 21 dni pacjenci, u których wykryto infekcję małpią ospą, nie powinni kontaktować się ze swoimi zwierzętami, by ich nie zakazić - zaleciła brytyjska Agencja Bezpieczeństwa Zdrowia (UKHSA). Brytyjscy specjaliści przestrzegli ponadto, że podatne na tego wirusa mogą być gryzonie. Jak przypomnieli, zainfekowane zwierzę może zakazić małpią ospą również człowieka. Do tej pory w Wielkiej Brytanii 106 osób zakaziło się wirusem małpiej ospy. Choć według naczelnej weterynarz Anglii Christine Middlemiss jak dotąd nie wykryto żadnych przypadków małpiej ospy u zwierząt domowych, a ryzyko jest nadal niskie, szczególnie podatne na tę chorobę mogą być myszoskoczki, chomiki i inne gryzonie. Wytyczne UKHSA i innych organów zajmujących się zdrowiem zalecają, aby zwierzaki takie jak świnki morskie, szczury czy myszy zostały usunięte z gospodarstwa domowego osoby zakażonej ospą małpią na 21 dni i przetestowane pod kątem choroby. Inne zwierzęta, np. psy i koty, należy umieścić w izolacji gospodarstwa domowego z regularnymi kontrolami weterynaryjnymi, aby ""upewnić się, że nie zaobserwowano żadnych objawów klinicznych"". Z kolei Department for Environment, Food and Rural Affairs (Defra) zaleca, aby ""jeśli to możliwe"" pacjent unikał przygotowywania jedzenia lub pielęgnacji swojego zwierzęcia, jeśli może to zrobić ktoś inny w gospodarstwie domowym.Zakażone przez człowieka zwierzę może zakazić kolejne zwierzę - lub człowieka. Szacuje się, że gryzonie są hodowane w Wielkiej Brytanii w dwóch milionach gospodarstw domowych. Europejskie Centrum Kontroli Chorób (ECDC) twierdzi, że zdarzenie w którym człowiek zakaża zwierzę domowe, może potencjalnie doprowadzić do zadomowienia się wirusa w europejskiej faunie, chociaż ryzyko to jest ""bardzo niskie""."
2;Szpitale na Krymie nie przyjmują cywilów. Miejsca tylko dla rosyjskich żołnierzy;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-szpitale-na-krymie-nie-przyjmuja-cywilow-miejsca-tylko-dla-r,nId,6057244;" Sztab Generalny Sił Zbrojnych Ukrainy przekazał najnowsze informacje z anektowanego przez Rosję Krymu. Okazuje się, że cywile mają tam nie być przyjmowani do szpitali, by zrobić miejsce dla rannych rosyjskich żołnierzy.  Okupacyjna administracja Krymu wydała rozporządzenie w sprawie wstrzymania przyjmowania na leczenie cywilów, by zwolnić miejsca dla rannych wojskowych - pisze sztab w 95. dniu rosyjskiej inwazji. Według niego na półwyspie intensywnie prowadzone są akcje krwiodawstwa. Wcześniej o sytuacji w szpitalach i ""przymusowym"" oddawaniu krwi na Krymie informowała ukraińska rzeczniczka praw człowieka Ludmyła Denisowa. Sztab informuje, że przeciwnik, by uzupełnić straty, wyposaża siły wyciągniętym z magazynów przestarzałym uzbrojeniem i sprzętem, np. czołgami T-62 i wozami bojowymi BMP-1. W komunikacie czytamy, że minionej doby w Donbasie siły ukraińskie odparły siedem ataków przeciwnika, zniszczyły jeden wrogi czołg, sześć pojazdów oraz bezzałogowiec. Rosjanie prowadzą działania ofensywne na kierunku donieckim, aktywnie wykorzystując siły i zasoby wojsk rakietowych, artylerii i walki radioelektronicznej. Wzmocnili intensywność działań lotnictwa. Siły przeciwnika próbują umocnić swoje pozycje w pobliżu miasta Łyman. W okolicy Siewierodoniecka Rosjanie prowadzili działania szturmowe przy pomocy artylerii. Walki trwają."
3;Noc spadających gwiazd. 30 i 31 maja czeka nas deszcz meteorów?;https://wydarzenia.interia.pl/nauka/news-noc-spadajacych-gwiazd-30-i-31-maja-czeka-nas-deszcz-meteoro,nId,6050993;" Kiedy będzie najbliższa noc spadających gwiazd? Już pod koniec maja możemy być świadkami niezwykłego spektaklu lub... nie. Wiele zależy od rozwoju niezwykłej komety SW3, którą zauważono po raz pierwszy ponad 90 lat temu. Zatem czy będzie deszcz meteorów? Czy 30 i 31 maja czeka nas noc spadających gwiazd?  Deszcz meteorów w maju dla astronomów nie jest niczym niezwykłym. Co dzień Ziemia jest bombardowana milionami kawałków pędzących przez Układ Słoneczny. Większość nie jest większa niż kurz i piasek, jednak zapowiadany deszcz meteorów może stworzyć niezwykły spektakl smug światła. A to na pewno zainteresuje entuzjastów spoglądania w niebo. Deszcze meteorów w maju mogą pojawić się na niebie dzięki szczątkom rozbitej komety 73P/Schwassmann-Wachmann, znanej również pod nazwą SW3. Ta należy do komet Jowisza, a odkryta została w 1930 roku przez niemieckich badaczy. Obiecany pod koniec maja deszcz meteorów jest związany właśnie z tą kometą i jej niezwykłą historią. Kometa SW3 okrążała Słońce co 6 lat, jednak była tak słaba, że kolejny raz zaobserwowano ją dopiero w latach 70. W 1995 roku astronomowie odkryli, że kometa Jowisza jest około 600 razy jaśniejsza i przeszła od słabej do widocznej gołym okiem smugi. Po dalszych badaniach astronomowie zdali sobie sprawę, że rozbiła się, a w 2006 roku rozpadła się na prawie 70 kawałków i od tego czasu dalej się rozpada. Zobacz także: Asteroida zbliża się do Ziemi. Największy taki obiekt w ostatnich miesiącach Ten rozpad komety może być potencjalnym źródłem niezwykłego deszczu meteorów 30 i 31 maja. Jak donosi Bill Cooke z NASA to wydarzenie z kategorii ""wszystko albo nic"". Deszcz meteorów i jego skala zależą przede wszystkim od siły defragmentacji komety SW3.  Pozostałości po komecie SW3 zostały nazwane rojem Tau Herkulidy. W porównaniu z Geminidami albo Kwadrantydami rój ten jest niemal nieaktywny. Coroczne maksimum jego aktywności to zaledwie dwie spadające gwiazdy widoczne w ciągu godziny. Tym razem jednak może być inaczej.  Jak donosi NASA, jeżeli szczątki z SW3 oddzielą się od komety i będą przemieszczały się z prędkością ponad 416 km/h, będziemy świadkami niezwykłego deszczu meteorów. Jednak w momencie, gdy szczątki osiągną prędkość wyrzutu dochodzącą do kilkudziesięciu kilometrów, nic nie dotrze na Ziemię i nie będzie meteorów z tej komety.  Według zapowiedzi, w pozostałości po komecie SW3 możemy wlecieć już niebawem. Kiedy deszcz meteorów? Kulminacja tego niezwykłego widowiska należy spodziewać się 31 maja około godz. 7:00 czasu polskiego. Niestety, o tej godzinie w Polsce będzie już jasno, dlatego obserwacje warto rozpocząć wczesnym rankiem. Deszcz meteorów powinien być widoczny gołym okiem, a najłatwiej będzie go zaobserwować, kierując wzrok w zenit, czyli punkt na niebie dokładnie ponad pozycją obserwatora. Najlepiej widowisko nocy spadających gwiazd oglądać daleko od jakiegokolwiek oświetlenia tak, by mieć jak najlepszy widok na niebo. "
4;"Hiszpania: Protest przeciwko prostytucji. ""Nie jesteśmy towarem""";https://wydarzenia.interia.pl/zagranica/news-hiszpania-protest-przeciwko-prostytucji-nie-jestesmy-towarem,nId,6057236;" Podczas sobotniej demonstracji w stolicy kraju, Madrycie, tysiące osób domagało się wprowadzenia zakazu prostytucji. Demonstranci, w większości kobiety, przemaszerowali dwa kilometry jedną z głównych ulic Madrytu, Gran Via, między fontanną Cibeles a Plaza de Espana.
 Protestujący nieśli transparenty z hasłami: ""My, kobiety, nie jesteśmy towarem"" i ""Prostytucja to nie zawód"" skandowali: ""Stop wykorzystywaniu seksualnemu"". W czwartek parlament Hiszpanii zatwierdził projekt ustawy zaostrzającej przepisy dotyczące przestępstw na tle seksualnym. Nowe prawo przewiduje również zakaz reklamowania prostytucji. Ustawa musi zostać zatwierdzona przez Senat, wyższą izbę hiszpańskiego parlamentu. Dla aktywistów zaproponowane rozwiązania nie są wystarczające. - Działania podjęte przez rząd to łatanie dziur, które nie rozwiązują podstawowego problemu - powiedziała gazecie ""El Pais"" Laura Rivas, rzeczniczka ""Ruchu Feministycznego w Madrycie"". Rivas dodała, że demonstranci wyszli na ulice: ""ponieważ potrzebujemy kompleksowej odpowiedzi, która doprowadzi do zniesienia prostytucji"". Jedna z protestujących powiedziała agencji informacyjnej Europa Press: ""Prostytucja to niewolnictwo XXI wieku"". Prostytucja w Hiszpanii została zdekryminalizowana w 1995 roku. Samo zjawisko prostytucji nie jest bezpośrednio uregulowane w hiszpańskim kodeksie karnym, ale wykorzystywanie seksualne, np. sutenerstwo, jest nielegalne. W 2016 roku UNAIDS, który jest projektem Organizacji Narodów Zjednoczonych, którego celem jest koordynacja i poprawa skuteczności działań poszczególnych krajów w walce z HIV i AIDS, szacował, że w Hiszpanii jest ponad 70 tysięcy osób zajmujących się prostytucją. Do udziału w demonstracji wezwało 175 organizacji. Według szacunków policji, w akcji wzięło udział ponad 7000 osób. Protest odbył się bez incydentów. "
5;Izrael. Żydzi organizują Paradę Flagi. Napięta sytuacja w Jerozolimie;https://wydarzenia.interia.pl/zagranica/news-izrael-zydzi-organizuja-parade-flagi-napieta-sytuacja-w-jero,nId,6057234;" W niedzielę marsz izraelskich Żydów przejdzie przez serce muzułmańskiej dzielnicy Starego Miasta w Jerozolimie, aby upamiętnić zdobycie przez Izrael tych terenów w czasie wojny sześciodniowej w 1967 roku. Wydarzenie jest cykliczne, ale tym razem organizowane jest w okresie szczególnie wysokiego napięcia między Żydami a Hamasem. Dla islamistycznego ugrupowania marsz jest ""prowokacją"", dlatego wezwało do ""powstania w obronie Jerozolimy"". W marszu tradycyjnie biorą udział tysiące młodych Żydów, wielu z nich z izraelskimi flagami, tańczących i śpiewających pieśni patriotyczne, którzy przemierzają mozaikę uliczek biegnących przez historyczne dzielnice Jerozolimy. Dla ludności palestyńskiej wydarzenie jest prowokacją i naruszeniem jednego z niewielu miejsc w mieście, które zachowuje silny arabski charakter. Hamas, islamistyczna grupa kontrolująca Strefę Gazy, na początku zeszłorocznej procesji wystrzeliła rakiety w kierunku Izraela, wywołując 11-dniową wojnę, która pociągnęła za sobą setki ofiar. W sobotę organizacja wezwała Palestyńczyków w Strefie Gazy, na Zachodnim Brzegu i w Jerozolimie, a także izraelską mniejszość arabską, która jest Palestyńczykami z pochodzenia i Izraelczykami z obywatelstwa, do ""powstania w niedzielę w obronie Jerozolimy i meczetu Al-Aksa"". W zeszłym tygodniu minister bezpieczeństwa wewnętrznego Izraela Omer Bar-Lew oznajmił, że uczestnicy marszu będą mogli wejść na teren Starego Miasta przez Bramę Damasceńską, która prowadzi do dzielnicy muzułmańskiej. Decyzja ta została potępiona przez Palestyńczyków. W zeszłym roku, ze względu na niestabilną sytuację, uczestnikom przemarszu nie pozwolono na przejście tą trasą. Premier Izraela Naftali Bennett, mimo apeli niektórych koalicjantów o ponowne przemyślenie kwestii marszu, jak dotąd nie zgodził się na żadne zmiany. ""Parada Flagi odbędzie się jak zwykle zgodnie z zaplanowaną trasą, tak jak to miało miejsce od dziesięcioleci"" - poinformowało w piątek jego biuro, dodając, że będzie na bieżąco monitorować sytuację. Jerozolima i jej święte miejsca, czczone zarówno przez muzułmanów, Żydów, jak i chrześcijan, leżą w centrum trwającego od dziesięcioleci konfliktu izraelsko-palestyńskiego. Izrael uważa całą Jerozolimę za swoją wieczną i niepodzielną stolicę, podczas gdy Palestyńczycy chcą, aby wschodnia część stała się stolicą ich przyszłego państwa. Hamas, uznawany przez rządy państw zachodnich za organizację terrorystyczną, uważa cały obszar współczesnego Izraela za okupowany. Napięcie w mieście rośnie od tygodni. W kwietniu, podczas świętego dla muzułmanów miesiąca Ramadan, doszło do wielokrotnych starć między Palestyńczykami a policją izraelską na terenie kompleksu Al-Aksa. Muzułmanie byli poruszeni rosnącą liczbą Żydów odwiedzających Wzgórze Świątynne.  Meczet Al-Aksa jest trzecim najświętszym miejscem w islamie. Wzgórze Świątynne, na którym znajduje się  meczet, jest również świętym miejscem dla Żydów, ponieważ jest pozostałością po ich dwóch starożytnych świątyniach. Niedzielny marsz ma się zakończyć przy Ścianie Płaczu, żydowskim miejscu modlitwy, która jest częścią muru będącej zachodnią ścianą kompleksu Wzgórza Świątynnego i znajduje się poniżej meczetu Al-Aksa."
6;Trudna sytuacja Ukraińców w Siewierodoniecku. Toczą się zacięte walki;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-trudna-sytuacja-ukraincow-w-siewierodoniecku-tocza-sie-zacie,nId,6057230;" Szef administracji Siewierodoniecka Ołeksandr Striuk powiedział w CNN, że wojska ukraińskie w Siewierodoniecku w obwodzie ługańskim są w ""trudnej sytuacji obronnej"", a na obrzeżach miasta trwają walki.  - Odgłosy walk słychać w okolicach centralnego dworca autobusowego. Nasze wojsko jest w trudnej sytuacji obronnej. Miasto jest nieustannie ostrzeliwane - przekazał Striuk w sobotę. Powiedział, że sztab humanitarny w mieście jest praktycznie zablokowany i jego pracę wstrzymano, bo poruszanie się po mieście jest niebezpieczne. Według Striuka najbardziej zacięte walki toczą się wokół hotelu Mir oraz na obrzeżach miasta. Sztab Generalny Sił Zbrojnych Ukrainy przekazał w niedzielę rano, że o Siewierodonieck toczą się walki, a Rosjanie szturmują miasto i atakują je artylerią. Jak mówił Striuk stacji CNN, w Siewierodoniecku nie ma łączności komórkowej i została odcięta elektryczność. Woda jest dostarczana przy pomocy generatorów do otwartych zbiorników, których jest sześć lub siedem. - To bardzo niebezpieczne, bo jak tylko ludzie się zgromadzą, by nabrać wody, zaczyna się ostrzał - podkreślił. Striuk wyraził jednak przekonanie, że miasto może przetrzymać rosyjskie ataki pod warunkiem dostaw. - Wciąż są możliwości dotarcia do miasta. Można dostarczać małe ładunki. Jest to wyjątkowo trudne, ale jeszcze możliwe - powiedział. Ewakuację uznał za bardzo niebezpieczną. - Wywozimy mało osób, a pierwszeństwo mają ranni, bo w mieście opieka medyczna jest zapewniona tylko na podstawowym poziomie - dodał. "
7;Mer Mariupola: Przez choroby zakaźne mogą umrzeć tysiące mieszkańców Mariupola;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-mer-mariupola-przez-choroby-zakazne-moga-umrzec-tysiace-mies,nId,6057229;" Tysiące mieszkańców Mariupola mogą umrzeć z powodu chorób zakaźnych, takich jak czerwonka czy dżuma - zaalarmował mer tego okupowanego przez siły rosyjskie miasta na południowym wschodzie Ukrainy Wadym Bojczenko. W Mariupolu w wyniku zbrojnych działań Rosji zginęły 22 tysiące osób; spowodowało to pospieszne pochówki - powiedział mer, cytowany w sobotę wieczorem przez portal Ukraińska Prawda. W mieście pozostaje ponad 100 tysięcy mieszkańców, których nie wypuszczają okupanci - dodał przedstawiciel władz. - Do tego dochodzi niedziałająca kanalizacja, niezabieranie śmieci i pogorszenie warunków pogodowych, bo jesteśmy na progu lata, temperatura będzie rosnąć - kontynuował Wadym Bojczenko. - Nasi lekarze informują o zagrożeniu, które może pojawić się tego lata - wybuchy chorób zakaźnych - czerwonki, dżumy i innych. Te choroby mogą zabrać (życie) tysiącom mieszkańców Mariupola - ostrzegł mer. "
8;Zagraniczne media: Polska poświęca swoją turystykę dla uchodźców z Ukrainy;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-zagraniczne-media-polska-poswieca-swoja-turystyke-dla-uchodz,nId,6057227; Portugalska telewizja SIC wskazała, że Polska organizując masową pomoc dla uciekinierów wojennych z Ukrainy poświęca swoją turystykę. Odnotowano też, że polski rząd skierował już na przyjęcie uchodźców ukraińskich kilkaset milionów euro.  Prywatna ogólnokrajowa stacja o profilu liberalnym wskazuje, że Polska, do której dotarło najwięcej uchodźców ukraińskich, ponad 3 mln osób, z powodu skierowania do placówek turystycznych wojennych uciekinierów doświadcza największych problemów głównie w południowo-wschodniej części kraju. Portugalska telewizja odnotowuje, że w Rzeszowie wraz z napływem ukraińskich uchodźców populacja w ciągu zaledwie trzech miesięcy wzrosła o prawie 50 proc., co doprowadziło do niedoboru oferty dla turystów. Telewizja SIC odnotowując, że polski rząd skierował już na przyjęcie uchodźców ukraińskich kilkaset milionów euro, zaznacza, że problemów z brakiem miejsc dla urlopowiczów doświadczają również turystyczne regiony w Republice Czeskiej, gdzie również napłynęli liczni uciekinierzy wojenni. Od początku wojny funkcjonariusze SG odprawili w przejściach granicznych z Ukrainy do Polski 3,636 mln osób - poinformowała w piątek Straż Graniczna. Tego dnia do naszego kraju z Ukrainy przyjechało 22,1 tys. osób. Jak poinformowała SG, w czwartek do Polski z Ukrainy wjechało 22,1 tys. osób - to wzrost o 2 proc. względem statystyk ze środy. Natomiast w piątek do godziny 7 rano przybyło 6,4 tys. osób - wzrost 8,3 proc. w stosunku do danych z czwartkowego poranka.
9;Apel o zaostrzenia przepisów o broni palnej w USA. Republikanie przeciw;https://wydarzenia.interia.pl/zagranica/news-apel-o-zaostrzenia-przepisow-o-broni-palnej-w-usa-republikan,nId,6057225;" Podczas konwencji Krajowego Stowarzyszenia Strzeleckiego (NRA) były prezydent Donald Trump, senator Ted Cruz i inni Republikanie odrzucili wezwania do zaostrzenia przepisów o broni palnej. W sobotę przywódca NRA Wayne LaPierre uniknął głosowania nad wotum nieufności. ""Pomimo kontrowersji związanych z tym zgromadzeniem (po wtorkowej masowej strzelaninie w teksańskim Uvalde, gdzie zginęło 19 uczniów i dwie nauczycielki) kierownictwo NRA i jego zwolennicy pozostali nieugięci w pro-wolnościowym stanowisku, nawet w obliczu publicznych apeli o zaostrzenie przepisów dotyczących broni"" - podał Bloomberg. Trump, Cruz inni republikańscy przywódcy odrzucili wysiłki zmierzające do wprowadzenia ograniczeń dotyczących zakupów i używania broni palnej. Krytykowali Demokratów i innych aktywistów domagających się wprowadzenia ograniczeń uzasadniając to konstytucyjnym prawem do noszenia broni. Były prezydent wezwał w piątek do podjęcia takich działań, jak m.in. zapewnienie, że szkoły będą miały jedno wejście z uzbrojonymi ochroniarzami. Jak dodał, niektórzy nauczyciele powinni mieć prawo do noszenia broni palnej. - Jedynym sposobem na powstrzymanie złego faceta z bronią jest dobry facet z bronią - ocenił były prezydent. Zgodnie z protokołami bezpieczeństwa służb specjalnych USA w czasie przemówienia Trumpa na sali obrad obowiązywał zakaz posiadania broni. LaPierre, który piastuje stanowisko szefa NRA od ponad 30 lat, uniknął wotum nieufności. Autor wniosku, Robert Ryan z Arkansas, oskarżył go o ""tchórzostwo"" za to, że nie nosi broni palnej do ochrony osobistej. "
